Time_s,VideoAnalysis: X (m),Distance_m,VideoAnalysis: X Velocity (m/s),VideoAnalysis: Y Velocity (m/s)
0.000000,0.435524,-0.129210,-0.316711,-1.495426
0.033333,0.427353,-0.177287,-0.373385,-1.536706
0.066667,0.407943,-0.232603,-0.359943,-1.523299
0.100000,0.401786,-0.283596,-0.305039,-1.383291
0.133333,0.392273,-0.326521,-0.363579,-1.178469
0.166667,0.375462,-0.361916,-0.373213,-0.965512
0.200000,0.366182,-0.390012,-0.354561,-0.773722
0.233333,0.353253,-0.414344,-0.360528,-0.563503
0.266667,0.340499,-0.427553,-0.320156,-0.354013
0.300000,0.331511,-0.437114,-0.270855,-0.166293
0.333333,0.322639,-0.439261,-0.227539,0.033882
0.366667,0.317590,-0.434051,-0.218593,0.209875
0.400000,0.308893,-0.425076,-0.231467,0.373851
0.433333,0.300312,-0.408687,-0.201333,0.521701
0.466667,0.295496,-0.388648,-0.171928,0.623212
0.500000,0.290681,-0.368610,-0.185238,0.759384
0.533333,0.282333,-0.337392,-0.177118,0.882860
0.566667,0.277634,-0.309939,-0.138056,1.008939
0.600000,0.273110,-0.271365,-0.098654,1.156643
0.633333,0.272351,-0.229142,-0.091748,1.202886
0.666667,0.267827,-0.190568,-0.106806,1.227843
0.700000,0.263361,-0.148286,-0.075233,1.270608
0.733333,0.262602,-0.106063,-0.034344,1.316317
0.766667,0.261902,-0.060133,-0.012233,1.346870
0.800000,0.261201,-0.014203,0.021312,1.318532
0.833333,0.264150,0.027962,0.029901,1.275136
0.866667,0.263391,0.070185,0.029348,1.239461
0.900000,0.266339,0.112350,0.021868,1.154496
0.933333,0.265464,0.147159,-0.000693,1.067815
0.968333,0.264647,0.185675,0.018818,0.970454
1.001667,0.267362,0.213011,0.023613,0.877890
1.035000,0.266429,0.244113,0.022174,0.782881
1.068333,0.269086,0.267742,0.013480,0.623389
1.101667,0.267919,0.284015,-0.013128,0.503294
1.135000,0.266753,0.300288,-0.005365,0.407380
1.168333,0.269235,0.312795,-0.035256,0.274976
1.201667,0.264187,0.318005,-0.052596,0.154736
1.235000,0.262846,0.323156,0.010387,0.033233
1.268333,0.265095,0.320835,0.079305,-0.103813
1.301667,0.267286,0.314807,0.167245,-0.210257
1.335000,0.276892,0.308662,0.226507,-0.371872
1.368333,0.286322,0.291395,0.180101,-0.571998
1.401667,0.288280,0.270538,0.142964,-0.772269
1.435000,0.293771,0.238501,0.152797,-0.933108
1.468333,0.299262,0.206464,0.148057,-1.038096
1.501667,0.304694,0.170720,0.124393,-1.167507
1.535000,0.306303,0.127620,0.132156,-1.263421
1.568333,0.311618,0.084462,0.187133,-1.304456
1.601667,0.320641,0.041245,0.201803,-1.354128
1.635000,0.325899,-0.005620,0.197937,-1.403508
1.668333,0.331157,-0.052486,0.259141,-1.441551
1.701667,0.343770,-0.103175,0.305577,-1.436100
1.735000,0.352735,-0.150099,0.318905,-1.374508
1.768333,0.365465,-0.193374,0.316301,-1.343566
1.801667,0.374430,-0.240297,0.295453,-1.293798
1.835000,0.383511,-0.279807,0.314960,-1.232303
1.868333,0.396241,-0.323082,0.310140,-1.145705
1.901667,0.405381,-0.358884,0.272503,-0.984430
1.935000,0.414637,-0.387272,0.231292,-0.853999
1.968333,0.420186,-0.415602,0.211608,-0.730087
2.001667,0.425851,-0.436517,0.269352,-0.595031
2.035000,0.438989,-0.453842,0.308074,-0.490577
2.068333,0.448420,-0.471108,0.292013,-0.332731
2.101667,0.458025,-0.477253,0.279576,-0.140951
2.135000,0.467689,-0.479691,0.248312,0.032585
