Time (s) ,Force (N)
   0     ,  0.03381
   0.001 ,  0.03381
   0.002 ,  0.03381
   0.003 ,  0.03381
   0.004 ,  0.03381
   0.005 ,  0.03381
   0.006 ,  0.03381
   0.007 ,  0.03381
   0.008 ,  0.03381
   0.009 ,  0.03381
   0.01  ,  0.03381
   0.011 ,  0.03381
   0.012 ,  0.12585
   0.013 ,  1.2604
   0.014 ,  2.70114
   0.015 ,  4.20386
   0.016 ,  5.9226
   0.017 ,  7.63946
   0.018 ,  9.38825
   0.019 , 10.9529
   0.02  , 12.3955
   0.021 , 13.3761
   0.022 , 14.0823
   0.023 , 14.4186
   0.024 , 14.5106
   0.025 , 14.3585
   0.026 , 14.1124
   0.027 , 13.6822
   0.028 , 13.254
   0.029 , 12.7637
   0.03  , 12.1795
   0.031 , 11.6592
   0.032 , 11.1069
   0.033 , 10.6148
   0.034 , 10.1865
   0.035 ,  9.84846
   0.036 ,  9.60427
   0.037 ,  9.38825
   0.038 ,  9.20417
   0.039 ,  9.02008
   0.04  ,  8.836
   0.041 ,  8.62186
   0.042 ,  8.37579
   0.043 ,  8.09967
   0.044 ,  7.88553
   0.045 ,  7.7315
   0.046 ,  7.6094
   0.047 ,  7.48731
   0.048 ,  7.33328
   0.049 ,  7.1492
   0.05  ,  6.99517
   0.051 ,  6.81108
   0.052 ,  6.62888
   0.053 ,  6.5049
   0.054 ,  6.32082
   0.055 ,  6.22878
   0.056 ,  6.13674
   0.057 ,  6.01464
   0.058 ,  5.9226
   0.059 ,  5.83056
   0.06  ,  5.76857
   0.061 ,  5.67653
   0.062 ,  5.58449
   0.063 ,  5.52438
   0.064 ,  5.49244
   0.065 ,  5.4004
   0.066 ,  5.37035
   0.067 ,  5.30836
   0.068 ,  5.27831
   0.069 ,  5.18626
   0.07  ,  5.18626
   0.071 ,  5.09422
   0.072 ,  5.06417
   0.073 ,  5.03224
   0.074 ,  4.97213
   0.075 ,  4.94019
   0.076 ,  4.91014
   0.077 ,  4.84815
   0.078 ,  4.8181
   0.079 ,  4.78804
   0.08  ,  4.72606
   0.081 ,  4.696
   0.082 ,  4.60396
   0.083 ,  4.60396
   0.084 ,  4.54197
   0.085 ,  4.51192
   0.086 ,  4.47999
   0.087 ,  4.44993
   0.088 ,  4.41988
   0.089 ,  4.41988
   0.09  ,  4.41988
   0.091 ,  4.38794
   0.092 ,  4.38794
   0.093 ,  4.35789
   0.094 ,  4.35789
   0.095 ,  4.35789
   0.096 ,  4.2959
   0.097 ,  4.32783
   0.098 ,  4.2959
   0.099 ,  4.2959
   0.1   ,  4.26585
   0.101 ,  4.26585
   0.102 ,  4.26585
   0.103 ,  4.23579
   0.104 ,  4.20386
   0.105 ,  4.20386
   0.106 ,  4.20386
   0.107 ,  4.20386
   0.108 ,  4.20386
   0.109 ,  4.17381
   0.11  ,  4.17381
   0.111 ,  4.11182
   0.112 ,  4.14375
   0.113 ,  4.11182
   0.114 ,  4.11182
   0.115 ,  4.11182
   0.116 ,  4.08176
   0.117 ,  4.08176
   0.118 ,  4.08176
   0.119 ,  4.08176
   0.12  ,  4.08176
   0.121 ,  4.08176
   0.122 ,  4.08176
   0.123 ,  4.08176
